"","SAMPLE_ID","basic_statistics","per_base_sequence_quality","per_tile_sequence_quality","per_sequence_quality_scores","per_base_sequence_content","per_sequence_gc_content","per_base_n_content","sequence_length_distribution","sequence_duplication_levels","overrepresented_sequences","adapter_content","kmer_content","SeqLength_R1","percentGC_R1","phred20.21_R1","phred48.49_R1","phred76.77_R1","phred100.101_R1","phredGT30_R1","phredGT35_R1","Adapter50.51_R1","Adapter70.71_R1","Adapter90_R1","SeqLength_R2","percentGC_R2","phred20.21_R2","phred48.49_R2","phred76.77_R2","phred100.101_R2","phredGT30_R2","phredGT35_R2","Adapter50.51_R2","Adapter70.71_R2","Adapter90_R2","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","bamFile","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Unmapped","gene_Unassigned_Read_Type","gene_Unassigned_Singleton","gene_Unassigned_MappingQuality","gene_Unassigned_Chimera","gene_Unassigned_FragmentLength","gene_Unassigned_Duplicate","gene_Unassigned_MultiMapping","gene_Unassigned_Secondary","gene_Unassigned_NonSplit","gene_Unassigned_NoFeatures","gene_Unassigned_Overlapping_Length","gene_Unassigned_Ambiguity","rRNA_rate","Adapter88.89_R1","Adapter88.89_R2","ERCCsumLogErr","gene_Unassigned_Nonjunction"
"R22189","R22189","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","WARN","PASS","NA","101","47","41.0","41.0","39.0","41.0",NA,NA,0.0736339210202399,0.671478383739914,3.99334504332904,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0763271215936771,0.667860105368759,3.92611851655029,FALSE,158473158,141593019,16880139,0.8935,0.8471,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22189_sorted.bam",166041821,3382052,0.0199620746481223,0.31220737001738,30394557,0,0,0,0,0,0,0,33347034,0,0,29506446,0,4105709,0.000262645709888122,NA,NA,NA,NA
"R22190","R22190","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","FAIL","FAIL/WARN","PASS","NA","101","48","41.0","41.0","39.0","39.0",NA,NA,0.0324594389938745,0.271389984052819,1.77501686041174,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0449167892557042,0.335894999715387,2.04037897269416,FALSE,106073922,92186118,13887804,0.8691,0.8021,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22190_sorted.bam",109758304,2873661,0.0255137251667411,0.375306949215339,25315249,0,0,0,0,0,0,0,25752446,0,0,12928731,0,3455693,1.63537794947227e-05,NA,NA,NA,NA
"R22191","R22191","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.0728249269602421,0.721504376767292,3.81499695112158,"101","51","41.0","41.0","41.0","41.0",NA,NA,0.0724253844155566,0.699366646387526,3.68159399821696,FALSE,162686054,141687672,20998382,0.8709,0.8206,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22191_sorted.bam",171876075,3723431,0.0212041086265926,0.369323370543741,37021888,0,0,0,0,0,0,0,37964087,0,0,18660452,0,6596046,2.62817498664574e-05,NA,NA,NA,NA
"R22192","R22192","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","50","41.0","41.0","41.0","41.0",NA,NA,0.031616202218135,0.180366648742161,1.11181166434334,"101","51","41.0","41.0","41.0","41.0",NA,NA,0.0310060509118394,0.172921445542589,1.04823007321409,FALSE,162090942,138403279,23687663,0.8539,0.8091,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22192_sorted.bam",168404095,4335771,0.0251000021037414,0.381789732050833,37335547,0,0,0,0,0,0,0,37085596,0,0,13245991,0,10123728,8.1155902175479e-06,NA,NA,NA,NA
"R22193","R22193","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","51","41.0","41.0","41.0","41.0",NA,NA,0.242390855916314,1.0009066957647,3.93632101101146,"101","52","41.0","41.0","41.0","41.0",NA,NA,0.245440956747551,1.00692194979499,3.93856651351517,FALSE,124782760,106252682,18530078,0.8515,0.8112,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22193_sorted.bam",135124692,3292918,0.0237897331127159,0.329537568444424,26618405,0,0,0,0,0,0,0,35950984,0,0,11558277,0,6647358,2.47197380909938e-05,NA,NA,NA,NA
"R22194","R22194","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","WARN","PASS","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.0539804436564125,0.273200183140374,1.71994495574007,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.0580285569147419,0.278187451954381,1.71801120252972,FALSE,119043112,110192589,8850523,0.9257,0.8896,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22194_sorted.bam",127978904,2265647,0.0173953304196196,0.266550101504742,19696607,0,0,0,0,0,0,0,23402697,0,0,28830962,0,1964311,2.41665988461871e-05,NA,NA,NA,NA
"R22195","R22195","PASS","FAIL/PASS","FAIL","PASS","FAIL/WARN","WARN","FAIL/PASS","PASS","PASS/WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0678858531490988,0.498870983005235,3.32059264782515,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0694286120618141,0.491027076244201,3.25408524047084,FALSE,134499304,121595609,12903695,0.9041,0.8623,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22195_sorted.bam",140963984,3971155,0.0273995321452032,0.295677233340473,24914549,0,0,0,0,0,0,0,29340146,0,0,28025928,0,1982033,2.70926036028186e-05,NA,NA,NA,NA
"R22196","R22196","PASS","PASS","PASS/FAIL","PASS","FAIL/WARN","FAIL/WARN","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.0615491360088355,0.236340921127661,1.30753329612901,"101","46","41.0","41.0","39.0","39.0",NA,NA,0.0614901158851276,0.229855347283704,1.24533641426248,FALSE,135546988,109906136,25640852,0.8108,0.7298,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22196_sorted.bam",122845446,2148999,0.0171927560460787,0.357637026427051,25622511,0,0,0,0,0,0,0,17476511,0,0,25906002,0,2638875,1.92799214721773e-05,NA,NA,NA,NA
"R22197","R22197","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","WARN","WARN","PASS","NA","101","47","41.0","41.0","39.0","39.0",NA,NA,0.0118054216824671,0.098372461122177,0.779679893528307,"101","48","41.0","41.0","39.0","41.0",NA,NA,0.0188305668674769,0.121962875955071,0.894485973758552,FALSE,88112058,77542236,10569822,0.88,0.8073,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22197_sorted.bam",86294789,1559221,0.017747863757158,0.445035266566848,21980598,0,0,0,0,0,0,0,11672689,0,0,12425474,0,3311927,9.37190152879371e-06,NA,NA,NA,NA
"R22199","R22199","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","WARN","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.199796265670808,2.15266085626652,8.26052862998871,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.200574334495573,2.12996906941869,8.16819725691431,FALSE,123639448,103720822,19918626,0.8389,0.7833,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22199_sorted.bam",123728892,2798089,0.0221145638494291,0.374200883401188,27192685,0,0,0,0,0,0,0,26409112,0,0,15562593,0,3504292,2.92725782687513e-05,NA,NA,NA,NA
"R22200","R22200","PASS","PASS","WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","WARN","WARN","PASS","NA","101","46","41.0","41.0","39.0","39.0",NA,NA,0.0194265686646999,0.175462483106357,1.32327769149328,"101","47","41.0","41.0","39.0","41.0",NA,NA,0.0264916723800995,0.2038036215092,1.48135949924138,FALSE,111491640,99430425,12061215,0.8918,0.8226,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22200_sorted.bam",110707542,2242346,0.0198525739131322,0.356778696466543,22858962,0,0,0,0,0,0,0,16093112,0,0,23092555,0,2025794,1.82860446594207e-05,NA,NA,NA,NA
"R22201","R22201","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","WARN","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0733778719124503,0.255741412826403,1.42941517394469,"101","47","41.0","41.0","41.0","41.0",NA,NA,0.0771784991118485,0.262486631419082,1.43089104838634,FALSE,139713782,127978382,11735400,0.916,0.8798,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22201_sorted.bam",147499754,2792894,0.0185830380738251,0.30805463436647,26667043,0,0,0,0,0,0,0,28073002,0,0,29576345,0,2249563,2.21246877653439e-05,NA,NA,NA,NA
"R22202","R22202","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0690234463620527,0.301922534547205,1.76970164112988,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0729331067071196,0.30949194702181,1.77531188010735,FALSE,149654944,135845632,13809312,0.9077,0.8716,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22202_sorted.bam",162868208,3511511,0.0211054028766571,0.343211395487078,33926570,0,0,0,0,0,0,0,39121026,0,0,21856612,0,3946152,1.51503673964094e-05,NA,NA,NA,NA
"R22203","R22203","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.074147726899427,0.266280341082829,1.48960242620083,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0789559914295667,0.273950914828951,1.49158036745307,FALSE,115675832,104955250,10720582,0.9073,0.8731,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22203_sorted.bam",124311065,3563828,0.0278696459984526,0.403391783527689,29101532,0,0,0,0,0,0,0,25451311,0,0,13127516,0,4461745,1.36762559441888e-05,NA,NA,NA,NA
"R22204","R22204","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","WARN","WARN","PASS","NA","101","46","41.0","41.0","39.0","39.0",NA,NA,0.0122362255893033,0.118298866492007,0.977112148494728,"101","47","41.0","41.0","39.0","41.0",NA,NA,0.0194437365601727,0.143736642888021,1.09815659917373,FALSE,106389016,95436994,10952022,0.8971,0.8294,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22204_sorted.bam",104090567,1658992,0.0156879330343118,0.484648180406107,27910406,0,0,0,0,0,0,0,10676450,0,0,15792596,0,3209552,8.99306158427076e-06,NA,NA,NA,NA
"R22205","R22205","PASS","PASS","FAIL","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","FAIL/WARN","WARN","PASS","NA","101","49","41.0","41.0","39.0","39.0",NA,NA,0.0242696918939249,0.157495935470535,1.0075011968392,"101","51","41.0","41.0","39.0","41.0",NA,NA,0.0367430450163029,0.191505471416189,1.15019546066052,FALSE,98225392,85458018,12767374,0.87,0.8136,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22205_sorted.bam",107205444,4350071,0.0389946745349165,0.236625672696429,17409245,0,0,0,0,0,0,0,37802453,0,0,16806659,0,1554577,2.24018904897944e-05,NA,NA,NA,NA
"R22206","R22206","PASS","FAIL/PASS","FAIL","PASS","FAIL/WARN","FAIL","FAIL/PASS","PASS","WARN","WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0577677820767555,0.434875282703582,2.91322645941667,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0599720691001178,0.431916748623466,2.8688559906855,FALSE,106066042,95874789,10191253,0.9039,0.8637,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22206_sorted.bam",111443759,2029945,0.017889122575923,0.372236087736111,23702791,0,0,0,0,0,0,0,19968230,0,0,17228188,0,2777559,1.49771391900642e-05,NA,NA,NA,NA
"R22207","R22207","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","WARN/FAIL","PASS","PASS","FAIL/WARN","FAIL","PASS","NA","101","46","41.0","41.0","39.0","39.0",NA,NA,0.0548222326447661,0.258620732944554,1.65576538358903,"101","46","41.0","41.0","39.0","39.0",NA,NA,0.05753904874838,0.250922595007037,1.5523469244342,FALSE,270831728,233271277,37560451,0.8613,0.8029,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22207_sorted.bam",261859858,4894690,0.018349040481964,0.32211835482893,48485296,0,0,0,0,0,0,0,40296898,0,0,57542184,0,4195750,2.36772814586921e-05,NA,NA,NA,NA
"R22208","R22208","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.056973405882628,0.347883328093623,2.30995828198648,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0588106565071107,0.348433105541693,2.28988208687009,FALSE,128779382,115161621,13617761,0.8943,0.8579,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22208_sorted.bam",137222168,2419168,0.0173241539310394,0.35749335746773,28694589,0,0,0,0,0,0,0,29098512,0,0,19002455,0,3470520,1.75294373444415e-05,NA,NA,NA,NA
"R22209","R22209","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","WARN","WARN","PASS","NA","101","48","41.0","41.0","39.0","39.0",NA,NA,0.0183346188958697,0.13439570309082,0.934584002211101,"101","49","41.0","41.0","39.0","41.0",NA,NA,0.0274337468671803,0.170180012067072,1.07588653656331,FALSE,104867192,93153080,11714112,0.8883,0.823,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22209_sorted.bam",112438549,2868194,0.0248744689631898,0.267986464413755,19092481,0,0,0,0,0,0,0,29464226,0,0,20574580,0,2112912,3.0011814598637e-05,NA,NA,NA,NA
"R22210","R22210","PASS","PASS","WARN/PASS","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0493897423857977,0.240605330314899,1.454938402405,"101","50","41.0","41.0","39.0","39.0",NA,NA,0.050351534690125,0.233206439227275,1.38993998606632,FALSE,125910760,108207284,17703476,0.8594,0.8052,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22210_sorted.bam",131320988,1899477,0.0142581471998315,0.350410898869951,27527585,0,0,0,0,0,0,0,30237761,0,0,16063593,0,4729077,1.40949523904839e-05,NA,NA,NA,NA
"R22211","R22211","PASS","PASS","PASS","PASS","FAIL/WARN","WARN","PASS","PASS","WARN","FAIL","PASS","NA","101","46","41.0","41.0","41.0","41.0",NA,NA,0.0587580077991762,0.23579532096105,1.44105026426979,"101","46","41.0","41.0","41.0","41.0",NA,NA,0.0623946339696543,0.242081461727063,1.44213302619114,FALSE,156821178,143462896,13358282,0.9148,0.8751,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22211_sorted.bam",157986776,1911564,0.0119548708260511,0.376888993137429,32441227,0,0,0,0,0,0,0,17564016,0,0,32302508,0,3768594,1.78168353496617e-05,NA,NA,NA,NA
"R22212","R22212","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL/WARN","FAIL","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0388603267638145,0.444735828455209,2.8449241692557,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0415612323135719,0.439960846911224,2.78138197583136,FALSE,193194464,172422559,20771905,0.8925,0.8455,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22212_sorted.bam",195470225,3387798,0.0170362651146341,0.407800109926904,44456769,0,0,0,0,0,0,0,28515072,0,0,30945547,0,5098691,1.7972516176333e-05,NA,NA,NA,NA
"R22213","R22213","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL","FAIL","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.0371524490529093,0.225818887324511,1.41743796635877,"101","50","41.0","41.0","39.0","39.0",NA,NA,0.0354193649986313,0.211350582893151,1.31599635167336,FALSE,127229836,99030903,28198933,0.7784,0.7284,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22213_sorted.bam",131634939,5328159,0.0389021501251381,0.283853145533342,24915274,0,0,0,0,0,0,0,47670231,0,0,11132732,0,4056989,1.73788977797314e-05,NA,NA,NA,NA
"R22214","R22214","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0673477744366473,0.733703433524311,4.01657802188888,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0691089183785854,0.73088032937419,3.98029398190906,FALSE,125145932,110494878,14651054,0.8829,0.8358,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22214_sorted.bam",127878681,2393847,0.0183756854706926,0.43711676885003,31374366,0,0,0,0,0,0,0,21232914,0,0,13773923,0,5394506,1.55859723189307e-05,NA,NA,NA,NA
"R22215","R22215","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0723618114496213,0.339024195103811,2.09387350743173,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.0770506136069537,0.347832987782861,2.09751315428306,FALSE,160510078,142023475,18486603,0.8848,0.8462,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22215_sorted.bam",164132456,2942532,0.0176120437608531,0.462155051104257,42254364,0,0,0,0,0,0,0,26187040,0,0,17733136,0,5254438,1.14307719789606e-05,NA,NA,NA,NA
"R22216","R22216","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.135226936506776,0.724519314999602,3.29021453966829,"101","48","41.0","41.0","41.0","41.0",NA,NA,0.134783072923442,0.724993820053186,3.27616323688227,FALSE,114224284,98628793,15595491,0.8635,0.8247,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22216_sorted.bam",115765457,1693575,0.0144184314408448,0.380968653295733,25099930,0,0,0,0,0,0,0,21162319,0,0,16109702,0,3512551,1.45418732243476e-05,NA,NA,NA,NA
"R22217","R22217","PASS","PASS","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","WARN","PASS","NA","101","49","41.0","41.0","41.0","41.0",NA,NA,0.100281637696907,0.425659400718379,2.54892367279135,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.105742281065195,0.432323689181675,2.54439436697757,FALSE,131101768,118146750,12955018,0.9012,0.864,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22217_sorted.bam",141891116,4493364,0.0306956311215506,0.332493489284794,28387152,0,0,0,0,0,0,0,33938556,0,0,19117028,0,3933829,2.20874570298563e-05,NA,NA,NA,NA
"R22218","R22218","PASS","PASS","PASS/FAIL","PASS","FAIL","FAIL/WARN","PASS/WARN","PASS","FAIL/WARN","FAIL","PASS","NA","101","47","41.0","41.0","41.0","41.0",NA,NA,0.0430732378190491,0.225339096661882,1.46357508338366,"101","48","41.0","41.0","41.0","39.0",NA,NA,0.0452810102618068,0.221441433881628,1.40665449863052,FALSE,129179980,99555037,29624943,0.7707,0.6998,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22218_sorted.bam",115367592,1996881,0.017014356635845,0.373452241446414,25480540,0,0,0,0,0,0,0,20934027,0,0,18615837,0,3199311,1.39714464450125e-05,NA,NA,NA,NA
"R22219","R22219","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","FAIL","FAIL/WARN","PASS","NA","101","48","41.0","41.0","39.0","39.0",NA,NA,0.0268509290944405,0.22484818419365,1.59456373104237,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0365752098568667,0.270183877755129,1.77466770029036,FALSE,118178406,107574904,10603502,0.9103,0.8499,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22219_sorted.bam",122820591,4067996,0.0320595894097237,0.440063214868617,31120188,0,0,0,0,0,0,0,21016445,0,0,14464679,0,4116228,1.02505807484196e-05,NA,NA,NA,NA
"R22220","R22220","PASS","PASS","FAIL","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","FAIL","FAIL/WARN","PASS","NA","101","51","41.0","41.0","39.0","39.0",NA,NA,0.0279093607671921,0.243039342268151,1.51444534830276,"101","53","41.0","41.0","39.0","41.0",NA,NA,0.0422463042430289,0.301278370881126,1.79473145062112,FALSE,96268776,82385991,13882785,0.8558,0.7972,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22220_sorted.bam",118460371,5052076,0.0409033755116195,0.167895118544925,15110287,0,0,0,0,0,0,0,61314763,0,0,10648892,0,2924428,5.0693941154129e-05,NA,NA,NA,NA
"R22221","R22221","PASS","PASS","FAIL","PASS","FAIL/WARN","FAIL","WARN/PASS","PASS","WARN","WARN","PASS","NA","101","47","41.0","41.0","39.0","39.0",NA,NA,0.017941871317155,0.161612659290181,1.1594618078111,"101","48","41.0","41.0","39.0","41.0",NA,NA,0.026083156467988,0.190364822396273,1.29232696059298,FALSE,128849436,115105134,13744302,0.8933,0.8265,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22221_sorted.bam",132918481,2636445,0.0194492747537629,0.342652668028255,26797229,0,0,0,0,0,0,0,24640811,0,0,23244380,0,3522805,1.57105796274682e-05,NA,NA,NA,NA
"R22222","R22222","PASS","PASS","FAIL/PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL/WARN","PASS","NA","101","51","41.0","41.0","41.0","41.0",NA,NA,0.0542675008568263,0.261478526393625,1.42340472986409,"101","52","41.0","41.0","41.0","41.0",NA,NA,0.0571000545389187,0.265385759398088,1.4196775965415,FALSE,118267838,106491426,11776412,0.9004,0.8695,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22222_sorted.bam",143836254,2993182,0.0203854355198913,0.263055446011866,24367950,0,0,0,0,0,0,0,50304474,0,0,14287035,0,3674814,1.67022667068834e-05,NA,NA,NA,NA
"R22223","R22223","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS/WARN","PASS","FAIL","FAIL","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0346814217152841,0.198694889244024,1.26623477250787,"101","49","41.0","41.0","41.0","41.0",NA,NA,0.0343342116291495,0.18927815583907,1.18286641439146,FALSE,121252238,103384382,17867856,0.8526,0.8071,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22223_sorted.bam",121384710,2492867,0.020123633835686,0.454291463599706,31596496,0,0,0,0,0,0,0,22836774,0,0,10556434,0,4561451,6.77290291936169e-06,NA,NA,NA,NA
"R22224","R22224","PASS","PASS","FAIL/WARN","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL/WARN","PASS","NA","101","48","41.0","41.0","41.0","41.0",NA,NA,0.0690694407424611,0.325134877109745,1.97145085679816,"101","50","41.0","41.0","41.0","41.0",NA,NA,0.0734040138014218,0.330160394492162,1.96433266017225,FALSE,136045694,124860879,11184815,0.9178,0.8838,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22224_sorted.bam",147587746,3372825,0.0223424234398266,0.432004662215277,36672185,0,0,0,0,0,0,0,29274800,0,0,13194444,0,5746972,1.40706096459756e-05,NA,NA,NA,NA
"R22225","R22225","PASS","PASS","PASS","PASS","FAIL/WARN","FAIL","PASS","PASS","FAIL","FAIL","WARN","NA","101","52","41.0","41.0","41.0","41.0",NA,NA,0.146345070420113,1.52219632476172,6.74169432673653,"101","53","41.0","41.0","41.0","41.0",NA,NA,0.14748277027852,1.50181058673053,6.61806335832627,FALSE,145381050,121634308,23746742,0.8367,0.7867,"/dcs04/lieber/lcolladotor/joelPTSD_LIBD3040/joelPTSD_year2/processed-data/01_SPEAQeasy/pipeline_output/alignment/bam_sort/R22225_sorted.bam",165130889,3762735,0.0222787273485232,0.26321993204009,27225095,0,0,0,0,0,0,0,55182462,0,0,14595804,0,6427617,4.34892880998211e-05,NA,NA,NA,NA
